CODE,Start time - A,End time - A,Start time - B,End time - B
AJU,00:01:28,00:01:44,00:01:31,00:01:47
AJU,00:02:45,00:03:18,00:02:24,00:03:09
AJU,00:02:45,00:03:18,00:03:06,00:03:53
AJU,00:03:14,00:03:54,00:03:06,00:03:53
ACP,00:04:48,00:04:56,00:04:56,00:05:22
AJU,00:04:54,00:05:27,00:05:16,00:05:35
AJU,00:08:02,00:08:39,00:08:14,00:08:33
ACX,00:11:32,00:11:51,00:11:36,00:11:53
AJU,00:12:21,00:12:44,00:12:31,00:12:52
AJU,00:13:17,00:13:44,00:13:24,00:13:35
ACE,00:13:46,00:13:54,00:13:46,00:13:56
ACE,00:14:43,00:14:51,00:14:43,00:15:03
ACE,00:14:57,00:15:05,00:14:43,00:15:03
AJU,00:22:42,00:23:00,00:22:45,00:23:03
AJU,00:23:04,00:23:16,00:23:07,00:23:15
AJU,00:00:14,00:00:27,00:00:00,00:00:36
AJU,00:00:39,00:00:51,00:00:38,00:01:24
AJU,00:00:47,00:01:23,00:00:38,00:01:24
AJU,00:02:30,00:02:48,00:02:24,00:03:09
AJU,00:04:03,00:04:44,00:03:57,00:04:50
ACP,00:04:58,00:05:06,00:04:56,00:05:22
ACP,00:05:02,00:05:10,00:04:56,00:05:22
ACE,00:06:40,00:06:48,00:06:38,00:06:49
ACE,00:14:18,00:14:26,00:14:17,00:14:39
ACE,00:14:25,00:14:33,00:14:17,00:14:39
ACE,00:14:50,00:14:58,00:14:43,00:15:03
AJU,00:15:02,00:15:10,00:14:56,00:15:12
CON,00:03:08,00:03:16,00:22:36,00:20:52
CON,00:11:09,00:11:39,00:22:36,00:20:52
CON,00:22:40,00:22:48,00:22:36,00:20:52
CON,00:02:58,00:03:06,00:22:36,00:20:52
ACE,00:23:13,00:23:21,00:23:10,00:23:27
AJU,00:23:23,00:23:31,00:23:20,00:23:34
ACE,00:23:52,00:24:00,00:23:49,00:24:04
ACE,00:24:17,00:24:25,00:24:15,00:24:38
ACE,00:24:20,00:24:28,00:24:15,00:24:38
